target	state	verdict	bytes
before	finish	OK	306160
before	melody	OK	263082
before	lyrics	OK	312650
before	beat-ready	OK	486231
before	find-a-sound	OK	484342
before	perform	OK	484098
before	welcome	OK	484569
before	song-timeline	MISSING	307958
before	export	OK	304251
before	coach	OK	484427
before	vibes	OK	326579
before	guide-full	OK	377790
before	song-empty	MISSING	341825
before	vocals-armed	OK	277895
before	balance	OK	0
before	vocals-take	MISSING	6063
before	vocals-empty	OK	277507
before	guide-quick	MISSING	375052
before	sound	OK	281226
before	beat-playing	OK	486288
desktop	beat-playing	OK	188763
desktop	guide-full	OK	267644
desktop	perform	OK	190926
desktop	vocals-empty	OK	200616
desktop	lyrics	OK	173915
desktop	beat-ready	OK	190276
desktop	song-timeline	OK	218854
desktop	vocals-take	OK	201004
desktop	export	OK	190447
desktop	find-a-sound	OK	204594
desktop	coach	OK	178432
desktop	melody	OK	189008
desktop	guide-quick	OK	283755
desktop	finish	OK	190447
desktop	sound	OK	196604
desktop	vocals-armed	OK	200253
desktop	welcome	OK	160446
desktop	vibes	OK	246658
desktop	balance	OK	198927
desktop	song-empty	OK	208567
phone-390	welcome	OK	81414
phone-390	vocals-empty	OK	113778
phone-390	vocals-armed	OK	112426
phone-390	vibes	OK	93222
phone-390	finish	OK	94158
phone-390	song-empty	OK	106454
phone-390	balance	OK	114217
phone-390	sound	OK	103281
phone-390	melody	OK	88410
phone-390	guide-quick	OK	145546
phone-390	beat-ready	OK	94179
phone-390	perform	OK	94158
phone-390	export	OK	94158
phone-390	vocals-take	OK	114044
phone-390	find-a-sound	OK	106214
phone-390	beat-playing	OK	93336
phone-390	coach	OK	101425
phone-390	song-timeline	OK	115755
phone-390	guide-full	OK	131250
phone-390	lyrics	OK	97532
phone-320	melody	OK	64120
phone-320	finish	OK	62391
phone-320	sound	OK	68923
phone-320	vocals-armed	OK	77117
phone-320	guide-full	OK	74069
phone-320	export	OK	62391
phone-320	beat-playing	OK	64570
phone-320	song-timeline	OK	69527
phone-320	coach	OK	73462
phone-320	balance	OK	68146
phone-320	lyrics	OK	73529
phone-320	beat-ready	OK	62359
phone-320	find-a-sound	OK	63231
phone-320	song-empty	OK	68175
phone-320	perform	OK	62391
phone-320	guide-quick	OK	76494
phone-320	vocals-take	OK	79036
phone-320	vocals-empty	OK	79036
phone-320	vibes	OK	53080
phone-320	welcome	OK	58558
